9991.16,6485.61,2386.56,
9991.16,6485.61,2387.56,0
9964.265,6424.63,2388.73,1
9937.973,6363.744,2388.7,1
9912.248,6302.548,2389.04,0
9886.734,6241.251,2389.4,1
9873.625,6209.046,2389.62,1
9861.704,6179.76,2389.82,1
9836.721,6118.259,2390.17,1
9812.355,6056.738,2389.8,1
9787.861,5995.305,2389.27,1
9762.939,5934.187,2388.2,1
9738.131,5873.002,2387.25,1
9713.523,5811.695,2386.49,1
9688.919,5750.396,2385.74,1
9664.295,5689.108,2385.02,1
9639.18,5627.804,2384.98,1
9614.132,5566.505,2384.9,0
9589.427,5505.187,2384.58,0
9564.949,5444.11,2383.34,0
9540.567,5383.15,2381.74,0
9516.2,5322.22,2380.15,0
9491.851,5261.34,2378.56,1
9467.372,5200.46,2377.25,1
9442.699,5139.56,2376.37,1
9418.042,5078.69,2375.48,0
9393.279,5017.84,2374.83,0
9368.005,4956.87,2375.22,0
9342.749,4895.95,2375.6,1
9317.514,4835.07,2375.99,1
9302.5,4798.85,2376.22,1
9292.297,4774.24,2376.37,1
9267.002,4713.39,2377.07,1
9251.425,4675.92,2377.78,1
9242.245,4652.28,2378.1,0
9218.427,4590.97,2378.92,0
9194.722,4529.89,2379.06,0
9171.114,4469,2378.74,0
9147.587,4408.25,2378.05,1
9147.084,4406.96,2378.04,1
